,company,title,url,status_code,fetch_error,word_count,relevance_hits,is_text_rich,is_relevant,has_jd_structure,is_usable,text_preview
0,Disney,Lead Software Engineer - Licensing/AI Systems,https://jobs.disneycareers.com/job/orlando/lead-software-engineer-licensing-ai-systems/391/86564722480,200,,2116,"['ai', 'architect', 'architecture', 'cloud', 'data science', 'llm', 'machine learning', 'platform', 'production', 'rag']",True,True,True,True,"Lead Software Engineer-Licensing/AI Systems at DISNEY

Skip to main content

Go to

Menu

Home

Our Work

Our Locations

Our Culture

Students

Search Jobs

What would you like to do?

Keyword

Where would you like to work?

Country/Region

Select a country/region

Argentina

Bulgaria

France

Germany

Hong Kong

India

Japan

Netherlands

Spain

United Kingdom

United States

State/Province

Select a state/province

Buenos Aires F.D.

California

Connecticut

England

Florida

Île-de-France Reg"
1,Disney,Lead Machine Learning Engineer,https://jobs.disneycareers.com/job/new-york/lead-machine-learning-engineer/391/92134437872,200,,2364,"['ai', 'architect', 'architecture', 'cloud', 'data science', 'genai', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"Lead Machine Learning Engineer at DISNEY

Skip to main content

Go to

Menu

Home

Our Work

Our Locations

Our Culture

Students

Search Jobs

What would you like to do?

Keyword

Where would you like to work?

Country/Region

Select a country/region

Argentina

Bulgaria

France

Germany

Hong Kong

India

Japan

Netherlands

Spain

United Kingdom

United States

State/Province

Select a state/province

Buenos Aires F.D.

California

Connecticut

England

Florida

Île-de-France Region

Illinois"
2,Disney,"Director, Decision Science AI/ML Engineering & Ops",https://jobs.disneycareers.com/job/burbank/director-decision-science-ai-ml-engineering-and-ops/391/95735380864,200,,3138,"['agent', 'ai', 'architect', 'architecture', 'cloud', 'data science', 'genai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"Director, Decision Science AI/ML Engineering & Ops at DISNEY

Skip to main content

Go to

Menu

Home

Our Work

Our Locations

Our Culture

Students

Search Jobs

What would you like to do?

Keyword

Where would you like to work?

Country/Region

Select a country/region

Argentina

Bulgaria

France

Germany

Hong Kong

India

Japan

Netherlands

Spain

United Kingdom

United States

State/Province

Select a state/province

Buenos Aires F.D.

California

Connecticut

England

Florida

Île-de-Fra"
3,Disney,Omni-Channel Analytics Manager,https://jobs.disneycareers.com/job/celebration/omni-channel-analytics-mgr/391/95377091536,404,HTTP 404,0,[],False,False,False,False,
4,Capital One,"Principal Data Scientist, AI Foundations",https://www.capitalonecareers.com/job/new-york/principal-data-scientist-ai-foundations/1732/86070871904,200,,2315,"['ai', 'architect', 'architecture', 'cloud', 'data science', 'generative ai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"Principal Data Scientist, AI Foundations at Capital One

Skip to main content



 Menu

 

Menu

Explore Jobs 

back

Explore Jobs

Teams

Military

Pinned Jobs

All Jobs

Locations

back

Locations

United States

Canada

India

Mexico

Philippines

United Kingdom

Students & Grads 

back

Students & Grads

Overview

Early Internship Program

Internship Programs

Full-Time Programs

Graduate Programs

Events

Working at Capital One

back

Working at Capital One

Benefits

Culture

Discover
"
5,Capital One,Distinguished AI Engineer,https://www.capitalonecareers.com/job/cambridge/distinguished-ai-engineer/1732/93736801200,200,,2301,"['ai', 'architect', 'cloud', 'data science', 'generative ai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"Distinguished AI Engineer at Capital One

Skip to main content



 Menu

 

Menu

Explore Jobs 

back

Explore Jobs

Teams

Military

Pinned Jobs

All Jobs

Locations

back

Locations

United States

Canada

India

Mexico

Philippines

United Kingdom

Students & Grads 

back

Students & Grads

Overview

Early Internship Program

Internship Programs

Full-Time Programs

Graduate Programs

Events

Working at Capital One

back

Working at Capital One

Benefits

Culture

Discover

Diversity, Inc"
6,Capital One,Distinguished AI Engineer - Agentic AI Platform,https://www.capitalonecareers.com/job/san-jose/distinguished-ai-engineer-agentic-ai-platform/1732/89599740832,200,,2496,"['agent', 'ai', 'architect', 'architecture', 'cloud', 'data science', 'genai', 'generative ai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"Distinguished AI Engineer (Agentic AI Platform) at Capital One

Skip to main content



 Menu

 

Menu

Explore Jobs 

back

Explore Jobs

Teams

Military

Pinned Jobs

All Jobs

Locations

back

Locations

United States

Canada

India

Mexico

Philippines

United Kingdom

Students & Grads 

back

Students & Grads

Overview

Early Internship Program

Internship Programs

Full-Time Programs

Graduate Programs

Events

Working at Capital One

back

Working at Capital One

Benefits

Culture

Di"
7,Accenture,AI Infrastructure Architect,https://www.accenture.com/us-en/careers/jobdetails?id=ATCI-5197918-S1906698_en,200,,1504,"['agent', 'ai', 'architect', 'architecture', 'artificial intelligence', 'cloud', 'generative ai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'production', 'rag']",True,True,True,True,"AI Infrastructure Architect

Skip to main content

Skip to footer

Menu

 

Accenture

 

Accenture

Close Menu

What we do

 

Back

What we do

Capabilities

Capabilities

Artificial Intelligence and Data 
 

Cloud 
 

Customer Service 
 

Cybersecurity 
 

Digital Engineering and Manufacturing 
 

Ecosystem Partners 
 

Emerging Technology 
 

Finance and Risk Management 
 

Infrastructure and Capital Projects 
 

Learning 
 

Managed Services 
 

Marketing and Experience 
 

Metaverse 
 

Sa"
8,Accenture,Advanced AI Architect,https://www.accenture.com/us-en/careers/jobdetails?id=R00330053_en&title=Advanced+AI+Architect,200,,1953,"['agent', 'ai', 'architect', 'architecture', 'artificial intelligence', 'cloud', 'data science', 'generative ai', 'llm', 'ml', 'model', 'platform', 'rag']",True,True,True,True,"Advanced AI Architect

Skip to main content

Skip to footer

Menu

 

Accenture

 

Accenture

Close Menu

What we do

 

Back

What we do

Capabilities

Capabilities

Artificial Intelligence and Data 
 

Cloud 
 

Customer Service 
 

Cybersecurity 
 

Digital Engineering and Manufacturing 
 

Ecosystem Partners 
 

Emerging Technology 
 

Finance and Risk Management 
 

Infrastructure and Capital Projects 
 

Learning 
 

Managed Services 
 

Marketing and Experience 
 

Metaverse 
 

Sales an"
9,Accenture,Data & AI Solution Architect,https://www.accenture.com/us-en/careers/jobdetails?id=13915760_en,200,,1434,"['ai', 'architect', 'architecture', 'artificial intelligence', 'cloud', 'data science', 'genai', 'generative ai', 'llm', 'machine learning', 'ml', 'model', 'platform', 'rag']",True,True,True,True,"Data & AI Solution Architect

Skip to main content

Skip to footer

Menu

 

Accenture

 

Accenture

Close Menu

What we do

 

Back

What we do

Capabilities

Capabilities

Artificial Intelligence and Data 
 

Cloud 
 

Customer Service 
 

Cybersecurity 
 

Digital Engineering and Manufacturing 
 

Ecosystem Partners 
 

Emerging Technology 
 

Finance and Risk Management 
 

Infrastructure and Capital Projects 
 

Learning 
 

Managed Services 
 

Marketing and Experience 
 

Metaverse 
 

S"
